Total turns: 1934
Opus: 978, Jake: 956

--- Speaker turn sequence ---
  Turn 000 | Jake  |    16 words
  Turn 772 | Jake  |    88 words
  Turn 773 | Opus  |   274 words
  Turn 774 | Jake  |     7 words
  Turn 775 | Opus  |   337 words
  Turn 776 | Jake  |    36 words
  Turn 777 | Opus  |   249 words
  Turn 778 | Jake  |    61 words
  Turn 779 | Opus  |   459 words
  Turn 780 | Opus  |   159 words
  Turn 781 | Jake  |    25 words
  Turn 782 | Opus  |   161 words
  Turn 783 | Jake  |   171 words
  Turn 784 | Opus  |   262 words
  Turn 785 | Jake  |    64 words
  Turn 786 | Opus  |   321 words
  Turn 787 | Jake  |    50 words
  Turn 788 | Opus  |   289 words
  Turn 789 | Jake  |    26 words
  Turn 790 | Opus  |   152 words
  Turn 791 | Jake  |    10 words
  Turn 792 | Opus  |   141 words
  Turn 793 | Jake  |    38 words
  Turn 794 | Opus  |   439 words
  Turn 795 | Jake  |    60 words
  Turn 796 | Opus  |   303 words
  Turn 797 | Jake  |    18 words
  Turn 798 | Opus  |   361 words
  Turn 799 | Jake  |    60 words
  Turn 800 | Opus  |   365 words
  Turn 801 | Jake  |    41 words
  Turn 802 | Opus  |   393 words
  Turn 803 | Jake  |    76 words
  Turn 804 | Opus  |   318 words
  Turn 805 | Jake  |    94 words
  Turn 806 | Opus  |   288 words
  Turn 807 | Jake  |    25 words
  Turn 808 | Opus  |    68 words
  Turn 809 | Jake  |     9 words
  Turn 810 | Opus  |   121 words
  Turn 811 | Jake  |    30 words
  Turn 812 | Opus  |    88 words
  Turn 813 | Jake  |    26 words
  Turn 814 | Opus  |    60 words
  Turn 815 | Jake  |    98 words
  Turn 816 | Opus  |   156 words
  Turn 817 | Jake  |    28 words
  Turn 818 | Opus  |   171 words
  Turn 819 | Jake  |    16 words
  Turn 820 | Opus  |   261 words
  Turn 821 | Jake  |    54 words
  Turn 822 | Opus  |   525 words
  Turn 823 | Jake  |    15 words
  Turn 824 | Opus  |    72 words
  Turn 825 | Jake  |    42 words
  Turn 826 | Opus  |   545 words
  Turn 827 | Jake  |    28 words
  Turn 828 | Opus  |    43 words
  Turn 829 | Opus  |    90 words
  Turn 830 | Jake  |    70 words
  Turn 831 | Opus  |    29 words
  Turn 832 | Jake  |    41 words
  Turn 833 | Opus  |   449 words
  Turn 834 | Jake  |    64 words
  Turn 835 | Opus  |   137 words
  Turn 836 | Jake  |    23 words
  Turn 837 | Opus  |   501 words
  Turn 838 | Jake  |    30 words
  Turn 839 | Opus  |   399 words
  Turn 840 | Jake  |    28 words
  Turn 841 | Opus  |   131 words
  Turn 842 | Jake  |   383 words
  Turn 843 | Opus  |   118 words
  Turn 844 | Jake  |    87 words
  Turn 845 | Opus  |   238 words
  Turn 846 | Jake  |   184 words
  Turn 847 | Opus  |   297 words
  Turn 848 | Jake  |    87 words
  Turn 849 | Opus  |   209 words
  Turn 850 | Jake  |   115 words
  Turn 851 | Opus  |   156 words
  Turn 852 | Jake  |    52 words
  Turn 853 | Opus  |   546 words
  Turn 854 | Jake  |    23 words
  Turn 855 | Opus  |   236 words
  Turn 856 | Jake  |     6 words
  Turn 857 | Opus  |   231 words
  Turn 858 | Jake  |   126 words
  Turn 859 | Opus  |    93 words
  Turn 860 | Jake  |    92 words
  Turn 861 | Opus  |   143 words
  Turn 862 | Jake  |   332 words
  Turn 863 | Opus  |   194 words
  Turn 864 | Jake  |    11 words
  Turn 865 | Opus  |   237 words
  Turn 866 | Jake  |   110 words
  Turn 867 | Opus  |   685 words
  Turn 868 | Jake  |    82 words
  Turn 869 | Opus  |   114 words
  Turn 870 | Jake  |    44 words
  Turn 871 | Opus  |   403 words
  Turn 872 | Jake  |    98 words
  Turn 873 | Opus  |   473 words
  Turn 874 | Jake  |     9 words
  Turn 875 | Opus  |   231 words
  Turn 876 | Jake  |    44 words
  Turn 877 | Opus  |   132 words
  Turn 878 | Jake  |   214 words
  Turn 879 | Opus  |   523 words
  Turn 880 | Jake  |    21 words
  Turn 881 | Opus  |   309 words
  Turn 882 | Jake  |    28 words
  Turn 883 | Opus  |   392 words
  Turn 884 | Jake  |    22 words
  Turn 885 | Opus  |   187 words
  Turn 886 | Jake  |   118 words
  Turn 887 | Opus  |   531 words
  Turn 888 | Jake  |    41 words
  Turn 889 | Opus  |   487 words
  Turn 890 | Jake  |    75 words
  Turn 891 | Opus  |   433 words
  Turn 892 | Jake  |    37 words
  Turn 893 | Opus  |   402 words
  Turn 894 | Jake  |    48 words
  Turn 895 | Opus  |   291 words
  Turn 896 | Jake  |    35 words
  Turn 897 | Opus  |   432 words
  Turn 898 | Jake  |    25 words
  Turn 899 | Opus  |   209 words
  Turn 900 | Jake  |    19 words
  Turn 901 | Opus  |   455 words
  Turn 902 | Jake  |    93 words
  Turn 903 | Opus  |    97 words
  Turn 904 | Jake  |    17 words
  Turn 905 | Opus  |    56 words
  Turn 906 | Jake  |    56 words
  Turn 907 | Opus  |    21 words
  Turn 908 | Jake  |    53 words
  Turn 909 | Opus  |   187 words
  Turn 910 | Jake  |    11 words
  Turn 911 | Opus  |   353 words
  Turn 912 | Jake  |    48 words
  Turn 913 | Opus  |   142 words
  Turn 914 | Jake  |     9 words
  Turn 915 | Opus  |   700 words
  Turn 916 | Jake  |     6 words
  Turn 917 | Opus  |   228 words
  Turn 918 | Jake  |    13 words
  Turn 919 | Opus  |   232 words
  Turn 920 | Opus  |   642 words
  Turn 921 | Jake  |    96 words
  Turn 922 | Opus  |   429 words
  Turn 923 | Jake  |    45 words
  Turn 924 | Opus  |   353 words
  Turn 925 | Jake  |    30 words
  Turn 926 | Opus  |   408 words
  Turn 927 | Jake  |    10 words
  Turn 928 | Opus  |    77 words
  Turn 929 | Jake  |    48 words
  Turn 930 | Opus  |   235 words
  Turn 931 | Jake  |    47 words
  Turn 932 | Opus  |   205 words
  Turn 933 | Jake  |    19 words
  Turn 934 | Opus  |    89 words
  Turn 935 | Jake  |    26 words
  Turn 936 | Opus  |    76 words
  Turn 937 | Jake  |    56 words
  Turn 938 | Opus  |   111 words
  Turn 939 | Jake  |    16 words
  Turn 940 | Opus  |   113 words
  Turn 941 | Jake  |    64 words
  Turn 942 | Opus  |   158 words
  Turn 943 | Jake  |   183 words
  Turn 944 | Opus  |    59 words
  Turn 945 | Jake  |   125 words
  Turn 946 | Opus  |   116 words
  Turn 947 | Opus  |   119 words
  Turn 948 | Jake  |   102 words
  Turn 949 | Opus  |    41 words
  Turn 950 | Jake  |    49 words
  Turn 951 | Opus  |   332 words
  Turn 952 | Jake  |    18 words
  Turn 953 | Opus  |   119 words
  Turn 954 | Jake  |    33 words
  Turn 955 | Opus  |   261 words
  Turn 956 | Jake  |    14 words
  Turn 957 | Opus  |   206 words
  Turn 958 | Jake  |   215 words
  Turn 959 | Opus  |   177 words
  Turn 960 | Jake  |   377 words
  Turn 961 | Opus  |   218 words
  Turn 962 | Jake  |    10 words
  Turn 963 | Opus  |   130 words
  Turn 964 | Jake  |    23 words
  Turn 965 | Opus  |   175 words
  Turn 966 | Jake  |    29 words
  Turn 967 | Opus  |   262 words
  Turn 968 | Opus  |   163 words
  Turn 969 | Jake  |   167 words
  Turn 970 | Opus  |   145 words
  Turn 971 | Jake  |   214 words
  Turn 972 | Opus  |   159 words
  Turn 973 | Jake  |   187 words
  Turn 974 | Opus  |   365 words
  Turn 975 | Jake  |    90 words
  Turn 976 | Opus  |   297 words
  Turn 977 | Jake  |    92 words
  Turn 978 | Opus  |   443 words
  Turn 979 | Jake  |    40 words
  Turn 980 | Opus  |   272 words
  Turn 981 | Jake  |   177 words
  Turn 982 | Opus  |   446 words
  Turn 983 | Jake  |    30 words
  Turn 984 | Opus  |   198 words
  Turn 985 | Jake  |    22 words
  Turn 986 | Opus  |   230 words
  Turn 987 | Jake  |    44 words
  Turn 988 | Opus  |   521 words
  Turn 989 | Jake  |    56 words
  Turn 990 | Opus  |   411 words
  Turn 991 | Jake  |    69 words
  Turn 992 | Opus  |   556 words
  Turn 993 | Jake  |    18 words
  Turn 994 | Opus  |   200 words
  Turn 995 | Jake  |    28 words
  Turn 996 | Opus  |   146 words
  Turn 997 | Jake  |   142 words
  Turn 998 | Opus  |   403 words
  Turn 999 | Jake  |   168 words
  Turn 1000 | Opus  |   469 words
  Turn 1001 | Jake  |    65 words
  Turn 1002 | Opus  |   240 words
  Turn 1003 | Jake  |    31 words
  Turn 1004 | Opus  |   196 words
  Turn 1005 | Jake  |    50 words
  Turn 1006 | Opus  |   159 words
  Turn 1007 | Jake  |    42 words
  Turn 1008 | Opus  |   297 words
  Turn 1009 | Jake  |    33 words
  Turn 1010 | Opus  |   233 words
  Turn 1011 | Jake  |    32 words
  Turn 1012 | Opus  |   122 words
  Turn 1013 | Jake  |    32 words
  Turn 1014 | Opus  |   637 words
  Turn 1015 | Jake  |    82 words
  Turn 1016 | Opus  |   661 words
  Turn 1017 | Jake  |    36 words
  Turn 1018 | Opus  |   160 words
  Turn 1019 | Jake  |   181 words
  Turn 1020 | Opus  |   219 words
  Turn 1021 | Jake  |    99 words
  Turn 1022 | Opus  |   171 words
  Turn 1023 | Jake  |    51 words
  Turn 1024 | Opus  |   574 words
  Turn 1025 | Jake  |     7 words
  Turn 1026 | Opus  |   268 words
  Turn 1027 | Jake  |    52 words
  Turn 1028 | Opus  |   367 words
  Turn 1029 | Jake  |    97 words
  Turn 1030 | Opus  |   734 words
  Turn 1031 | Jake  |    12 words
  Turn 1032 | Opus  |   337 words
  Turn 1033 | Jake  |    81 words
  Turn 1034 | Opus  |   136 words
  Turn 1035 | Jake  |    52 words
  Turn 1036 | Opus  |   432 words
  Turn 1037 | Jake  |    23 words
  Turn 1038 | Opus  |   203 words
  Turn 1039 | Jake  |   128 words
  Turn 1040 | Opus  |    58 words
  Turn 1041 | Jake  |    18 words
  Turn 1042 | Opus  |    47 words
  Turn 1043 | Jake  |    50 words
  Turn 1044 | Opus  |    33 words
  Turn 1045 | Jake  |    31 words
  Turn 1046 | Opus  |   589 words
  Turn 1047 | Jake  |    10 words
  Turn 1048 | Opus  |   320 words
  Turn 1049 | Jake  |   148 words
  Turn 1050 | Opus  |   188 words
  Turn 1051 | Jake  |    43 words
  Turn 1052 | Opus  |   208 words
  Turn 1053 | Jake  |    61 words
  Turn 1054 | Opus  |   125 words
  Turn 1055 | Jake  |   146 words
  Turn 1056 | Opus  |   148 words
  Turn 1057 | Jake  |    58 words
  Turn 1058 | Opus  |   128 words
  Turn 1059 | Jake  |   196 words
  Turn 1060 | Opus  |   498 words
  Turn 1061 | Jake  |    21 words
  Turn 1062 | Opus  |   375 words
  Turn 1063 | Jake  |   147 words
  Turn 1064 | Opus  |   394 words
  Turn 1065 | Jake  |    48 words
  Turn 1066 | Opus  |   476 words
  Turn 1067 | Jake  |    77 words
  Turn 1068 | Opus  |   474 words
  Turn 1069 | Jake  |    86 words
  Turn 1070 | Opus  |   678 words
  Turn 1071 | Jake  |   166 words
  Turn 1072 | Opus  |   329 words
  Turn 1073 | Jake  |    94 words
  Turn 1074 | Opus  |   448 words
  Turn 1075 | Jake  |    88 words
  Turn 1076 | Opus  |   773 words
  Turn 1077 | Jake  |    41 words
  Turn 1078 | Opus  |   936 words
  Turn 1079 | Jake  |   290 words
  Turn 1080 | Opus  |   844 words
  Turn 1081 | Jake  |    49 words
  Turn 1082 | Opus  |   237 words
  Turn 1083 | Jake  |   134 words
  Turn 1084 | Opus  |   842 words
  Turn 1085 | Jake  |   239 words
  Turn 1086 | Opus  |   751 words
  Turn 1087 | Jake  |    32 words
  Turn 1088 | Opus  |   385 words
  Turn 1089 | Jake  |    39 words
  Turn 1090 | Opus  |   348 words
  Turn 1091 | Jake  |    20 words
  Turn 1092 | Opus  |   250 words
  Turn 1093 | Jake  |   982 words
  Turn 1094 | Opus  |   786 words
  Turn 1095 | Jake  |    99 words
  Turn 1096 | Opus  |   135 words
  Turn 1097 | Jake  |    31 words
  Turn 1098 | Opus  |   114 words
  Turn 1099 | Jake  |    22 words
  Turn 1100 | Opus  |   289 words
  Turn 1101 | Jake  |    59 words
  Turn 1102 | Opus  |   239 words
  Turn 1103 | Jake  |    24 words
  Turn 1104 | Opus  |   295 words
  Turn 1105 | Jake  |    40 words
  Turn 1106 | Opus  |   238 words
  Turn 1107 | Jake  |    76 words
  Turn 1108 | Opus  |    64 words
  Turn 1109 | Jake  |    33 words
  Turn 1110 | Opus  |   251 words
  Turn 1111 | Jake  |    59 words
  Turn 1112 | Opus  |    95 words
  Turn 1113 | Jake  |    19 words
  Turn 1114 | Opus  |   340 words
  Turn 1115 | Jake  |    25 words
  Turn 1116 | Opus  |   233 words
  Turn 1117 | Jake  |    61 words
  Turn 1118 | Opus  |   444 words
  Turn 1119 | Jake  |    63 words
  Turn 1120 | Opus  |   104 words
  Turn 1121 | Jake  |    12 words
  Turn 1122 | Opus  |    72 words
  Turn 1123 | Jake  |    76 words
  Turn 1124 | Opus  |   751 words
  Turn 1125 | Jake  |    34 words
  Turn 1126 | Opus  |   854 words
  Turn 1127 | Jake  |   742 words
  Turn 1128 | Opus  |   906 words
  Turn 1129 | Jake  |   143 words
  Turn 1130 | Opus  |   736 words
  Turn 1131 | Jake  |    23 words [MIXED]
  Turn 1132 | Jake  |   279 words
  Turn 1133 | Opus  |  1191 words
  Turn 1134 | Jake  |   209 words
  Turn 1135 | Opus  |  1181 words
  Turn 1136 | Jake  |   399 words
  Turn 1137 | Opus  |  1049 words
  Turn 1138 | Jake  |   177 words
  Turn 1139 | Opus  |   606 words
  Turn 1140 | Jake  |    30 words
  Turn 1141 | Opus  |    32 words
  Turn 1142 | Jake  |    71 words
  Turn 1143 | Opus  |   277 words
  Turn 1144 | Jake  |   228 words
  Turn 1145 | Opus  |   742 words
  Turn 1146 | Jake  |    12 words
  Turn 1147 | Opus  |   222 words
  Turn 1148 | Jake  |   222 words
  Turn 1149 | Opus  |   363 words
  Turn 1150 | Jake  |    99 words
  Turn 1151 | Opus  |   217 words
  Turn 1152 | Jake  |    74 words
  Turn 1153 | Opus  |   362 words
  Turn 1154 | Jake  |    24 words
  Turn 1155 | Opus  |   287 words
  Turn 1156 | Jake  |    48 words
  Turn 1157 | Opus  |   886 words
  Turn 1158 | Jake  |    60 words
  Turn 1159 | Opus  |   843 words
  Turn 1160 | Jake  |   207 words
  Turn 1161 | Opus  |   425 words
  Turn 1162 | Jake  |    37 words
  Turn 1163 | Opus  |   211 words
  Turn 1164 | Jake  |    37 words
  Turn 1165 | Opus  |   695 words
  Turn 1166 | Jake  |    40 words
  Turn 1167 | Opus  |   359 words
  Turn 1168 | Jake  |    31 words
  Turn 1169 | Opus  |   501 words
  Turn 1170 | Jake  |    64 words
  Turn 1171 | Opus  |   295 words
  Turn 1172 | Jake  |   186 words
  Turn 1173 | Opus  |   532 words
  Turn 1174 | Opus  |   194 words
  Turn 1175 | Jake  |    59 words
  Turn 1176 | Opus  |   357 words
  Turn 1177 | Jake  |    13 words
  Turn 1178 | Opus  |   187 words
  Turn 1179 | Jake  |    47 words
  Turn 1180 | Opus  |   493 words
  Turn 1181 | Jake  |    96 words
  Turn 1182 | Opus  |     9 words
  Turn 1183 | Jake  |    17 words
  Turn 1184 | Opus  |   254 words
  Turn 1185 | Jake  |    37 words
  Turn 1186 | Opus  |   472 words
  Turn 1187 | Opus  |   321 words
  Turn 1188 | Jake  |   253 words
  Turn 1189 | Opus  |   382 words
  Turn 1190 | Opus  |   552 words
  Turn 1191 | Jake  |    58 words
  Turn 1192 | Opus  |   918 words
  Turn 1193 | Jake  |   100 words
  Turn 1194 | Opus  |   964 words
  Turn 1195 | Jake  |    90 words
  Turn 1196 | Opus  |   351 words
  Turn 1197 | Jake  |    99 words
  Turn 1198 | Opus  |   444 words
  Turn 1199 | Jake  |   101 words
  Turn 1200 | Opus  |   311 words
  Turn 1201 | Jake  |   165 words
  Turn 1202 | Opus  |   522 words
  Turn 1203 | Jake  |   103 words
  Turn 1204 | Opus  |   464 words
  Turn 1205 | Jake  |    88 words
  Turn 1206 | Opus  |   176 words
  Turn 1207 | Jake  |    33 words
  Turn 1208 | Opus  |   462 words
  Turn 1209 | Jake  |   408 words
  Turn 1210 | Opus  |   734 words
  Turn 1211 | Jake  |   177 words
  Turn 1212 | Opus  |   668 words
  Turn 1213 | Jake  |   131 words
  Turn 1214 | Opus  |   489 words
  Turn 1215 | Jake  |   100 words
  Turn 1216 | Opus  |   974 words
  Turn 1217 | Jake  |    24 words
  Turn 1218 | Opus  |   221 words
  Turn 1219 | Jake  |     9 words
  Turn 1220 | Opus  |    32 words
  Turn 1221 | Jake  |    18 words
  Turn 1222 | Opus  |   391 words
  Turn 1223 | Jake  |    96 words
  Turn 1224 | Opus  |   713 words
  Turn 1225 | Jake  |   143 words
  Turn 1226 | Opus  |  1097 words
  Turn 1227 | Jake  |    17 words
  Turn 1228 | Opus  |   532 words
  Turn 1229 | Jake  |   144 words
  Turn 1230 | Opus  |   783 words
  Turn 1231 | Jake  |    53 words
  Turn 1232 | Opus  |   621 words
  Turn 1233 | Jake  |    63 words
  Turn 1234 | Opus  |   506 words
  Turn 1235 | Jake  |    80 words
  Turn 1236 | Opus  |   324 words
  Turn 1237 | Jake  |    27 words
  Turn 1238 | Opus  |   421 words
  Turn 1239 | Jake  |    13 words
  Turn 1240 | Opus  |    71 words
  Turn 1241 | Jake  |    38 words
  Turn 1242 | Opus  |   320 words
  Turn 1243 | Jake  |    25 words
  Turn 1244 | Opus  |   542 words
  Turn 1245 | Jake  |    15 words
  Turn 1246 | Opus  |   297 words
  Turn 1247 | Jake  |    17 words
  Turn 1248 | Opus  |   152 words
  Turn 1249 | Jake  |    12 words
  Turn 1250 | Opus  |   609 words
  Turn 1251 | Jake  |    67 words
  Turn 1252 | Opus  |   296 words
  Turn 1253 | Jake  |    59 words
  Turn 1254 | Opus  |   372 words
  Turn 1255 | Jake  |   260 words
  Turn 1256 | Opus  |  1407 words
  Turn 1257 | Jake  |   153 words
  Turn 1258 | Opus  |   409 words
  Turn 1259 | Jake  |    96 words
  Turn 1260 | Opus  |   369 words
  Turn 1261 | Jake  |    25 words
  Turn 1262 | Opus  |   142 words
  Turn 1263 | Jake  |    57 words
  Turn 1264 | Opus  |   155 words
  Turn 1265 | Jake  |    14 words
  Turn 1266 | Opus  |   205 words
  Turn 1267 | Jake  |     8 words
  Turn 1268 | Opus  |   154 words
  Turn 1269 | Jake  |    30 words
  Turn 1270 | Opus  |   566 words
  Turn 1271 | Jake  |    42 words
  Turn 1272 | Opus  |   367 words
  Turn 1273 | Jake  |   101 words
  Turn 1274 | Opus  |   326 words
  Turn 1275 | Jake  |    50 words
  Turn 1276 | Opus  |   683 words
  Turn 1277 | Jake  |    37 words
  Turn 1278 | Opus  |   456 words
  Turn 1279 | Jake  |    76 words
  Turn 1280 | Opus  |   103 words
  Turn 1281 | Jake  |    33 words
  Turn 1282 | Opus  |   113 words
  Turn 1283 | Jake  |    75 words
  Turn 1284 | Opus  |   324 words
  Turn 1285 | Jake  |    39 words
  Turn 1286 | Opus  |   321 words
  Turn 1287 | Jake  |   122 words
  Turn 1288 | Opus  |   368 words
  Turn 1289 | Jake  |    23 words
  Turn 1290 | Opus  |   295 words
  Turn 1291 | Jake  |    44 words
  Turn 1292 | Opus  |   456 words
  Turn 1293 | Jake  |    40 words
  Turn 1294 | Opus  |   290 words
  Turn 1295 | Jake  |    92 words
  Turn 1296 | Opus  |   392 words
  Turn 1297 | Jake  |    30 words
  Turn 1298 | Opus  |   264 words
  Turn 1299 | Jake  |    14 words
  Turn 1300 | Opus  |   183 words
  Turn 1301 | Jake  |    23 words
  Turn 1302 | Opus  |   431 words
  Turn 1303 | Jake  |   185 words
  Turn 1304 | Opus  |   624 words
  Turn 1305 | Jake  |    22 words
  Turn 1306 | Opus  |   183 words
  Turn 1307 | Jake  |    40 words
  Turn 1308 | Opus  |   823 words
  Turn 1309 | Jake  |    15 words
  Turn 1310 | Opus  |   487 words
  Turn 1311 | Jake  |    81 words
  Turn 1312 | Opus  |   779 words
  Turn 1313 | Jake  |    14 words
  Turn 1314 | Opus  |   574 words
  Turn 1315 | Jake  |    92 words
  Turn 1316 | Opus  |   352 words
  Turn 1317 | Jake  |    12 words
  Turn 1318 | Opus  |   148 words
  Turn 1319 | Jake  |    23 words
  Turn 1320 | Opus  |   381 words
  Turn 1321 | Jake  |    16 words
  Turn 1322 | Opus  |   449 words
  Turn 1323 | Jake  |    29 words
  Turn 1324 | Opus  |   736 words
  Turn 1325 | Jake  |    23 words
  Turn 1326 | Opus  |  1103 words
  Turn 1327 | Jake  |    79 words
  Turn 1328 | Opus  |  1117 words
  Turn 1329 | Jake  |    53 words
  Turn 1330 | Opus  |   460 words
  Turn 1331 | Jake  |   154 words
  Turn 1332 | Opus  |  1573 words
  Turn 1333 | Jake  |   196 words
  Turn 1334 | Opus  |   794 words
  Turn 1335 | Jake  |    45 words
  Turn 1336 | Opus  |   133 words
  Turn 1337 | Jake  |    25 words
  Turn 1338 | Opus  |   411 words
  Turn 1339 | Jake  |    30 words
  Turn 1340 | Opus  |   394 words
  Turn 1341 | Jake  |    66 words
  Turn 1342 | Opus  |   237 words
  Turn 1343 | Jake  |    66 words
  Turn 1344 | Opus  |   629 words
  Turn 1345 | Jake  |    73 words
  Turn 1346 | Opus  |   570 words
  Turn 1347 | Jake  |    31 words
  Turn 1348 | Opus  |    65 words
  Turn 1349 | Jake  |    47 words
  Turn 1350 | Opus  |   357 words
  Turn 1351 | Jake  |   184 words
  Turn 1352 | Opus  |   564 words
  Turn 1353 | Jake  |   265 words
  Turn 1354 | Opus  |   818 words
  Turn 1355 | Jake  |   258 words
  Turn 1356 | Opus  |   510 words
  Turn 1357 | Jake  |   184 words
  Turn 1358 | Opus  |   803 words
  Turn 1359 | Jake  |    80 words
  Turn 1360 | Opus  |   850 words
  Turn 1361 | Jake  |   144 words
  Turn 1362 | Opus  |   743 words
  Turn 1363 | Opus  |   637 words
  Turn 1364 | Jake  |    47 words
  Turn 1365 | Opus  |   650 words
  Turn 1366 | Jake  |   108 words
  Turn 1367 | Opus  |   393 words
  Turn 1368 | Jake  |     9 words
  Turn 1369 | Opus  |   533 words
  Turn 1370 | Jake  |   130 words
  Turn 1371 | Opus  |   441 words
  Turn 1372 | Jake  |    62 words
  Turn 1373 | Opus  |   778 words
  Turn 1374 | Jake  |    90 words
  Turn 1375 | Opus  |   554 words
  Turn 1376 | Jake  |   620 words
  Turn 1377 | Opus  |   467 words
  Turn 1378 | Jake  |    33 words
  Turn 1379 | Opus  |   804 words
  Turn 1380 | Jake  |    81 words
  Turn 1381 | Opus  |   293 words
  Turn 1382 | Jake  |    95 words
  Turn 1383 | Opus  |   324 words
  Turn 1384 | Jake  |   730 words
  Turn 1385 | Opus  |   817 words
  Turn 1386 | Jake  |    68 words
  Turn 1387 | Opus  |   748 words
  Turn 1388 | Jake  |   713 words
  Turn 1389 | Opus  |   804 words
  Turn 1390 | Jake  |    86 words
  Turn 1391 | Opus  |   594 words
  Turn 1392 | Jake  |   139 words
  Turn 1393 | Opus  |   440 words
  Turn 1394 | Jake  |    16 words
  Turn 1395 | Opus  |    31 words
  Turn 1396 | Jake  |    22 words
  Turn 1397 | Opus  |   515 words
  Turn 1398 | Jake  |   163 words
  Turn 1399 | Opus  |   390 words
  Turn 1400 | Jake  |    76 words
  Turn 1401 | Opus  |   659 words
  Turn 1402 | Jake  |   160 words
  Turn 1403 | Opus  |   610 words
  Turn 1404 | Opus  |   214 words
  Turn 1405 | Jake  |    63 words
  Turn 1406 | Opus  |   794 words
  Turn 1407 | Jake  |   184 words
  Turn 1408 | Opus  |   753 words
  Turn 1409 | Jake  |   132 words
  Turn 1410 | Opus  |   248 words
  Turn 1411 | Jake  |    30 words
  Turn 1412 | Opus  |   581 words
  Turn 1413 | Jake  |    18 words
  Turn 1414 | Opus  |   459 words
  Turn 1415 | Jake  |    30 words
  Turn 1416 | Opus  |   154 words
  Turn 1417 | Jake  |    14 words
  Turn 1418 | Opus  |   439 words
  Turn 1419 | Jake  |    28 words
  Turn 1420 | Opus  |   285 words
  Turn 1421 | Jake  |    15 words
  Turn 1422 | Opus  |   369 words
  Turn 1423 | Jake  |    19 words
  Turn 1424 | Opus  |   239 words
  Turn 1425 | Jake  |    10 words
  Turn 1426 | Opus  |   111 words
  Turn 1427 | Jake  |    46 words
  Turn 1428 | Opus  |   329 words
  Turn 1429 | Jake  |   191 words
  Turn 1430 | Opus  |   565 words
  Turn 1431 | Jake  |    27 words
  Turn 1432 | Opus  |   261 words
  Turn 1433 | Jake  |    28 words
  Turn 1434 | Opus  |   483 words
  Turn 1435 | Jake  |   190 words
  Turn 1436 | Opus  |  1836 words
  Turn 1437 | Jake  |   105 words
  Turn 1438 | Opus  |   568 words
  Turn 1439 | Jake  |    64 words
  Turn 1440 | Opus  |   356 words
  Turn 1441 | Jake  |    33 words
  Turn 1442 | Opus  |  1202 words
  Turn 1443 | Jake  |   150 words
  Turn 1444 | Opus  |   325 words
  Turn 1445 | Jake  |   163 words
  Turn 1446 | Opus  |   480 words
  Turn 1447 | Jake  |    90 words
  Turn 1448 | Opus  |   898 words
  Turn 1449 | Jake  |    86 words
  Turn 1450 | Opus  |  1042 words
  Turn 1451 | Jake  |    60 words
  Turn 1452 | Opus  |   439 words
  Turn 1453 | Jake  |    31 words
  Turn 1454 | Opus  |   476 words
  Turn 1455 | Jake  |    65 words
  Turn 1456 | Opus  |   186 words
  Turn 1457 | Jake  |   104 words
  Turn 1458 | Opus  |   576 words
  Turn 1459 | Jake  |   221 words
  Turn 1460 | Opus  |   557 words
  Turn 1461 | Jake  |    36 words
  Turn 1462 | Opus  |   895 words
  Turn 1463 | Jake  |    28 words
  Turn 1464 | Opus  |   824 words
  Turn 1465 | Jake  |    93 words
  Turn 1466 | Opus  |   807 words
  Turn 1467 | Jake  |    95 words
  Turn 1468 | Opus  |   522 words
  Turn 1469 | Jake  |    21 words
  Turn 1470 | Opus  |   459 words
  Turn 1471 | Jake  |    55 words
  Turn 1472 | Opus  |   536 words
  Turn 1473 | Jake  |    75 words
  Turn 1474 | Opus  |   618 words
  Turn 1475 | Jake  |    58 words
  Turn 1476 | Opus  |   289 words
  Turn 1477 | Jake  |    86 words
  Turn 1478 | Opus  |   250 words
  Turn 1479 | Jake  |    18 words
  Turn 1480 | Opus  |   221 words
  Turn 1481 | Jake  |   135 words
  Turn 1482 | Opus  |   398 words
  Turn 1483 | Jake  |    42 words
  Turn 1484 | Opus  |   598 words
  Turn 1485 | Jake  |    71 words
  Turn 1486 | Opus  |   338 words
  Turn 1487 | Jake  |    14 words
  Turn 1488 | Opus  |   320 words
  Turn 1489 | Jake  |   119 words
  Turn 1490 | Opus  |   341 words
  Turn 1491 | Jake  |     6 words
  Turn 1492 | Opus  |   132 words
  Turn 1493 | Jake  |    82 words
  Turn 1494 | Opus  |   397 words
  Turn 1495 | Jake  |   364 words
  Turn 1496 | Opus  |   240 words
  Turn 1497 | Jake  |    57 words
  Turn 1498 | Opus  |   304 words
  Turn 1499 | Jake  |    33 words
  Turn 1500 | Opus  |    59 words
  Turn 1501 | Jake  |    43 words
  Turn 1502 | Opus  |   256 words
  Turn 1503 | Jake  |    40 words
  Turn 1504 | Opus  |   195 words
  Turn 1505 | Jake  |    36 words
  Turn 1506 | Opus  |   227 words
  Turn 1507 | Jake  |    16 words
  Turn 1508 | Opus  |   204 words
  Turn 1509 | Jake  |    48 words
  Turn 1510 | Opus  |   452 words
  Turn 1511 | Jake  |    26 words
  Turn 1512 | Opus  |   620 words
  Turn 1513 | Jake  |   188 words
  Turn 1514 | Opus  |   315 words
  Turn 1515 | Jake  |   219 words
  Turn 1516 | Opus  |   542 words
